광역시도,시군구별,시점,항목,지역내총생산시장가격,순생산물세,총부가가치기초가격,농림어업,광업,제조업,전기가스증기및공기조절공급업,건설업,도소매업,운수및창고업,숙박및음식점업,정보통신업,금융보험업,부동산업,사업서비스업,공공행정국방및사회보장,교육서비스업,보건및사회복지서비스업,문화및기타서비스업
충청남도,홍성군,2020,2015년 기준년가격(연쇄),3163462,171690,2991755,333270,10989,374153,12632,138768,148289,55320,51536,91857,167654,176701,109262,859808,195205,180768,75303
충청남도,홍성군,2021,2015년 기준년가격(연쇄),3356077,182518,3173548,426186,13575,417272,11813,175889,158823,63544,48992,117946,162935,179349,109600,843297,205071,165363,81422
충청남도,예산군,2019,2015년 기준년가격(연쇄),2936828,212158,2724751,381763,6728,1076280,11842,162383,101090,60981,61299,24043,92947,140066,50850,255711,114140,139908,77579
충청남도,예산군,2020,2015년 기준년가격(연쇄),2994767,247072,2812964,416320,8666,1106469,20490,189917,102492,32594,51591,19779,93441,142963,85789,226092,122450,135409,71367
충청남도,예산군,2021,2015년 기준년가격(연쇄),3183561,257487,2927441,459157,18366,1201050,17643,239097,104180,40303,46456,34150,100213,146737,54918,212975,129317,138015,84246
충청남도,태안군,2019,2015년 기준년가격(연쇄),3237897,268227,2970629,243192,1123,58577,1385926,111073,74482,48707,82987,23628,63816,109511,235042,245587,106649,109328,50898
충청남도,태안군,2020,2015년 기준년가격(연쇄),3022069,237232,2788870,220155,1656,63160,1136939,139842,76743,72743,74278,17404,65450,110372,190704,279315,99806,110470,67279
충청남도,태안군,2021,2015년 기준년가격(연쇄),3099166,221890,2885300,264251,3315,56685,1162257,137237,79988,70382,82384,12961,65729,125249,166633,297188,101017,120953,72787
충청북도,충청북도,2019,2015년 기준년가격(연쇄),66927878,5001138,61930513,1904052,194335,30618962,459070,3579025,2211563,1535291,1152913,751216,1911035,2553127,3121913,4840456,3231082,2307901,1582890
충청북도,충청북도,2020,2015년 기준년가격(연쇄),65926299,4924170,61005939,1701245,182287,30143548,749203,3142334,2203620,1336738,970482,790841,2001887,2651484,3095166,5137502,3204415,2300649,1527032
충청북도,충청북도,2021,2015년 기준년가격(연쇄),70448450,4782949,65693988,1780502,187383,33767144,759148,3064922,2193956,1430922,988856,892219,2119950,2718286,3187858,5393800,3455689,2423146,1598588
충청북도,청주시,2019,2015년 기준년가격(연쇄),34128905,2060821,32070348,359263,30184,16148243,206911,1702879,1285200,764607,581523,403792,1181836,1327110,1820533,2156881,2208837,1229806,673839
충청북도,청주시,2020,2015년 기준년가격(연쇄),33443955,2045466,31398710,279088,34850,15807606,340247,1374451,1302088,625264,524620,460255,1259730,1422304,1805727,2243930,2206857,1119273,664609
충청북도,청주시,2021,2015년 기준년가격(연쇄),36639309,1998849,34661434,293665,34263,18637461,332561,1306501,1272247,676945,519850,458411,1318563,1484149,1874926,2525951,2382557,1149632,606266
충청북도,충주시,2019,2015년 기준년가격(연쇄),7681436,590194,7092391,280268,42000,2563668,153078,619429,300981,127653,165873,107967,301358,354743,243989,663605,452376,364869,339688
충청북도,충주시,2020,2015년 기준년가격(연쇄),7237384,566187,6672315,258630,43933,2500525,256814,468291,257995,119291,132211,108835,272822,354338,222470,705259,392596,304593,310248
충청북도,충주시,2021,2015년 기준년가격(연쇄),7207302,498057,6710493,266865,44649,2449412,278122,459450,253258,135964,137683,131183,287554,360000,209589,690248,400459,315553,335196
충청북도,제천시,2019,2015년 기준년가격(연쇄),3115287,233728,2881642,169878,36247,847414,12310,139219,159315,190570,92905,44767,138089,205657,102785,337385,120745,179521,108799
충청북도,제천시,2020,2015년 기준년가격(연쇄),3035295,212199,2824630,135446,30833,767108,18699,184436,135176,164797,65125,50803,138960,202879,94737,363380,120495,238999,105062
충청북도,제천시,2021,2015년 기준년가격(연쇄),3250783,222278,3030752,107195,32612,845636,19343,169422,137493,179605,71764,62638,153943,209487,96924,357757,124938,234780,199482
충청북도,보은군,2019,2015년 기준년가격(연쇄),1062520,61400,1000784,169639,3861,215312,2548,71815,23510,40275,24962,9699,20133,48373,17691,224747,26764,44876,57606
충청북도,보은군,2020,2015년 기준년가격(연쇄),1063270,60823,1002144,146378,5580,227867,4668,85178,21773,37650,9208,10071,23774,46940,11698,240569,25282,66590,35922
충청북도,보은군,2021,2015년 기준년가격(연쇄),1084518,58128,1026192,150208,4304,261538,4891,71558,21062,36644,12210,11828,24838,46894,10770,239403,25567,74918,28904
충청북도,옥천군,2019,2015년 기준년가격(연쇄),1387204,104567,1282553,101627,169,419024,4517,88872,49434,57021,25879,26750,44720,79479,47663,201690,39198,74433,18068
충청북도,옥천군,2020,2015년 기준년가격(연쇄),1314589,99018,1215490,91624,353,361928,9343,80205,45608,53655,21780,15776,50257,76320,31772,215901,40489,93372,22506
충청북도,옥천군,2021,2015년 기준년가격(연쇄),1365675,94845,1270690,96957,125,406801,9026,72091,47870,39402,22748,30803,55536,77603,27443,217142,41893,102197,23572
충청북도,영동군,2019,2015년 기준년가격(연쇄),973899,63492,910476,99287,2305,155858,3334,72408,34081,23939,25097,15098,30845,68605,25760,190993,44179,74099,39648
충청북도,영동군,2020,2015년 기준년가격(연쇄),1041486,64073,977204,128559,5281,143613,5452,92091,35474,19840,15277,16154,28875,65560,21575,215600,43161,91695,38160
충청북도,영동군,2021,2015년 기준년가격(연쇄),1146635,71592,1074845,170869,6274,159808,5545,100492,36621,21049,15690,19453,38821,65375,22009,210531,47266,99282,44971
충청북도,증평군,2019,2015년 기준년가격(연쇄),1018364,74010,944392,15768,-,311447,6201,111424,48281,26746,24572,10702,18742,55555,16841,201039,26457,52680,19647
충청북도,증평군,2020,2015년 기준년가격(연쇄),1074665,80213,994466,15884,-,393803,9685,67281,48118,24571,24449,10596,20402,59684,16050,217733,27654,39843,25248
충청북도,증평군,2021,2015년 기준년가격(연쇄),1202633,83564,1119204,24219,-,490018,9571,80815,42234,27201,22938,12155,23841,59459,20844,214194,30674,42431,24636
충청북도,진천군,2019,2015년 기준년가격(연쇄),7344461,736167,6608690,266266,31921,4629990,33303,286952,104876,100936,67298,68690,47104,142159,252239,216833,162743,102597,93692
충청북도,진천군,2020,2015년 기준년가격(연쇄),7500333,738290,6763275,188985,19535,4782167,51466,291746,90186,97523,68493,39350,50955,147989,259943,225898,204967,113943,106724
충청북도,진천군,2021,2015년 기준년가격(연쇄),7682889,700770,6987126,144967,20476,4977841,52635,273966,87866,104458,67396,73232,52095,144924,254244,231420,244634,131385,107213
충청북도,괴산군,2019,2015년 기준년가격(연쇄),1320575,95488,1224382,218953,3790,292027,4759,120911,29198,24501,22533,10327,28674,56697,59354,193871,62511,38715,57003
충청북도,괴산군,2020,2015년 기준년가격(연쇄),1349003,88848,1260382,173769,2977,267269,2847,109737,38154,21291,14746,13593,33226,60491,110630,223269,53464,67088,54788
