"달서구","공공행정, 국방 및 사회보장 행정",250926,225139,478333,421033,586030,500368,603717,509406
"달서구","교육 서비스업",588234,565644,592543,557886,1013338,947815,1092877,1017236
"달서구","보건업 및 사회복지 서비스업",727973,696656,856983,815536,992117,920005,1109059,1022442
"달서구","문화 및 기타서비스업",433391,380325,480199,408027,456695,373492,462031,375480
"달성군","지역내총생산(시장가격)",7589674,7268108,7433594,7012118,7213212,6777146,8535736,8077379
"달성군","순생산물세",651786,601657,643516,597609,591919,612301,749518,737621
"달성군","총부가가치(기초가격)",6937888,6667464,6790078,6414781,6621294,6164508,7786218,7340140
"달성군","농업, 임업 및 어업",102982,89179,95875,89181,81937,67590,86016,65539
"달성군","광업",843,798,1117,1061,735,741,839,869
"달성군","제조업",4260123,4183568,4101348,3952468,3281852,3124209,4228780,4138607
"달성군","전기, 가스, 증기 및 공기 조절 공급업",30822,43848,30147,42497,63121,84010,57117,92720
"달성군","건설업",533737,475754,466442,397242,551663,460458,500655,404319
"달성군","도매 및 소매업",233459,226387,226309,224576,285147,288999,279769,278593
"달성군","운수 및 창고업",121719,126087,123487,120482,215294,190050,154310,144301
"달성군","숙박 및 음식점업",69099,57614,89901,72347,129650,104294,133979,108027
"달성군","정보통신업",27657,29095,29896,31755,19639,21096,36230,39510
"달성군","금융 및 보험업",187168,169543,177798,166147,208488,204083,383216,364634
"달성군","부동산업",352709,340287,349412,334286,303589,287973,357024,339284
"달성군","사업서비스업",181238,167234,223443,201856,287581,264372,303144,283653
"달성군","공공행정, 국방 및 사회보장 행정",333534,297967,355867,311797,444997,378634,450446,378142
"달성군","교육 서비스업",72782,70226,83904,78711,296953,276069,353593,324571
"달성군","보건업 및 사회복지 서비스업",221939,212427,233891,222737,244570,226989,252499,233172
"달성군","문화 및 기타서비스업",208078,178705,201241,166364,206076,163063,208601,165603
