"가평군","제조업",73237,69312
"가평군","전기, 가스, 증기 및 공기 조절 공급업",18972,33569
"가평군","건설업",189650,152574
"가평군","도매 및 소매업",52863,52497
"가평군","운수 및 창고업",44497,30649
"가평군","숙박 및 음식점업",137750,125764
"가평군","정보통신업",16124,16855
"가평군","금융 및 보험업",29591,26648
"가평군","부동산업",231679,215288
"가평군","사업서비스업",66433,54885
"가평군","공공 행정, 국방 및 사회보장 행정",478981,404098
"가평군","교육 서비스업",94932,85918
"가평군","보건업 및 사회복지 서비스업",142790,132346
"가평군","문화 및 기타서비스업",149784,131744
"양평군","지역내총생산(시장가격)",2475909,2204696
"양평군","순생산물세",234662,201109
"양평군","총부가가치(기초가격)",2241247,2002433
"양평군","농업, 임업 및 어업",141758,118770
"양평군","광업",53,51
"양평군","제조업",69145,68560
"양평군","전기, 가스, 증기 및 공기 조절 공급업",-,-
"양평군","건설업",281382,224416
"양평군","도매 및 소매업",106066,105453
"양평군","운수 및 창고업",57245,54253
"양평군","숙박 및 음식점업",98872,88533
"양평군","정보통신업",17414,17772
"양평군","금융 및 보험업",55647,52309
"양평군","부동산업",292050,272905
"양평군","사업서비스업",81768,67252
"양평군","공공 행정, 국방 및 사회보장 행정",392825,332441
"양평군","교육 서비스업",160375,147364
"양평군","보건업 및 사회복지 서비스업",254013,235289
"양평군","문화 및 기타서비스업",232634,197149
