"울릉군","운수및창고업",10937,8327
"울릉군","숙박 및 음식점업",16311,14754
"울릉군","정보통신업",3606,4062
"울릉군","금융 및 보험업",7453,6626
"울릉군","부동산업",11632,11124
"울릉군","사업서비스업",3534,3154
"울릉군","공공행정,국방 및 사회보장 행정",124294,107631
"울릉군","교육서비스업(정부)",24401,17034
"울릉군","보건업 및 사회복지서비스업",4304,3955
"울릉군","문화 및 기타서비스업",16157,11943
