area_id,area_name,population,age_old_dependency_ratio,age_working_population,age_old,code
44130,Cheonan-si,658486,27.32884196837381,442924.0,121046.0,44130
44150,Gongju-si,103145,73.20372875701922,53959.0,39500.0,44150
44180,Boryeong-si,98408,72.66539827001158,50983.0,37047.0,44180
44200,Asan-si,324580,31.324420055353464,209201.0,65531.0,44200
44210,Seosan-si,176645,46.30220153791644,104427.0,48352.0,44210
44230,Nonsan-si,114483,74.0847948237698,58730.0,43510.0,44230
44250,Gyeryong-si,43331,30.32278751603249,28068.0,8511.0,44250
44270,Dangjin-si,167092,47.13478198537695,97654.0,46029.0,44270
44710,Geumsan-gun,50477,94.53679690489348,23521.0,22236.0,44710
44760,Buyeo-gun,63774,109.3569765359126,27915.0,30527.0,44760
44770,Seocheon-gun,50745,114.61031479006314,21697.0,24867.0,44770
44790,Cheongyang-gun,30440,111.12277806945174,13333.0,14816.0,44790
44800,Hongseong-gun,99324,62.80445437644364,53251.0,33444.0,44800
44810,Yesan-gun,76801,92.93226063318598,36419.0,33845.0,44810
44825,Taean-gun,61526,93.94257703081232,28560.0,26830.0,44825
45110,Jeonju-si,657269,36.088939021709,418444.0,151012.0,45110
45130,Gunsan-si,265304,48.20957721841357,155494.0,74963.0,45130
45140,Iksan-si,278113,50.59125397282253,163297.0,82614.0,45140
45180,Jeongeup-si,106487,73.93666478277515,54851.0,40555.0,45180
45190,Namwon_si,79431,76.31984489958242,40232.0,30705.0,45190
45210,Gimje-si,80913,90.57406830686185,38532.0,34900.0,45210
45710,Wanju-gun,91142,61.56357042111626,49630.0,30554.0,45710
45720,Jinan-gun,24987,109.63105373981509,10923.0,11975.0,45720
45730,Muju-gun,23748,99.45622119815668,10850.0,10791.0,45730
45740,Jangsu-gun,21695,104.2281321421151,9626.0,10033.0,45740
45750,Imsil-gun,26730,112.87594804289076,11471.0,12948.0,45750
45770,Sunchang-gun,26855,101.00926538716082,12088.0,12210.0,45770
45790,Gochang-gun,53386,101.82022191746664,24063.0,24501.0,45790
45800,Buan-gun,50795,97.60369057280764,23411.0,22850.0,45800
46110,Mokpo-si,218589,42.81944703904352,128472.0,55011.0,46110
46130,Yeosu-si,276762,49.7405443530612,158794.0,78985.0,46130
46150,Suncheon-si,281436,39.40338584582762,173546.0,68383.0,46150
46170,Naju-si,116726,56.263182026593306,65430.0,36813.0,46170
46230,Gwangyang-si,150531,33.72320093069636,96272.0,32466.0,46230
46710,Damyang-gun,46180,86.98052378218433,22643.0,19695.0,46710
46720,Gokseong-gun,27535,107.48966523465997,12337.0,13261.0,46720
46730,Gurye-gun,25235,104.03710247349824,11320.0,11777.0,46730
46770,Goheung-gun,62762,134.5239556482959,24441.0,32879.0,46770
46780,Boseong-gun,39375,120.87273191924356,15652.0,18919.0,46780
46790,Hwasun-gun,62624,69.62960746768789,33424.0,23273.0,46790
46800,Jangheung-gun,36547,101.60240667976424,16288.0,16549.0,46800
46810,Gangjin-gun,33753,105.60380479735318,14508.0,15321.0,46810
46820,Haenam-gun,67166,95.57931328501624,30493.0,29145.0,46820
46830,Yeongam-gun,52937,69.44266267550424,28062.0,19487.0,46830
46840,Muan-gun,91107,46.70087146791413,53014.0,24758.0,46840
46860,Hampyeong-gun,31274,111.65702570110568,13657.0,15249.0,46860
46870,Yeonggwang-gun,51985,79.23167385339083,25510.0,20212.0,46870
46880,Jangseong-gun,43365,83.77207440546267,21235.0,17789.0,46880
46890,Wando-gun,48631,95.19888947393616,20891.0,19888.0,46890
46900,Jindo-gun,30066,98.37221513764908,13331.0,13114.0,46900
46910,Sinan-gun,38217,112.08677054689888,16365.0,18343.0,46910
47110,Pohang-si,503852,47.53579124972854,299305.0,142277.0,47110
47130,Gyeongju-si,251889,59.91100639419767,140909.0,84420.0,47130
47150,Gimcheon-si,140239,60.86803885110975,76909.0,46813.0,47150
47170,Andong-si,156972,65.30670301665383,84365.0,55096.0,47170
47190,Gumi-si,412581,25.497279072943847,278214.0,70937.0,47190
47210,Yeongju-si,101942,75.6130868804216,51991.0,39312.0,47210
47230,Yeongcheon-si,101888,79.02242290918915,51822.0,40951.0,47230
47250,Sangju-si,95566,92.16732235335957,44991.0,41467.0,47250
47280,Mungyeong-si,71154,85.38176384378862,34799.0,29712.0,47280
47290,Gyeongsan-si,268369,41.77771680127891,167642.0,70037.0,47290
47720,Gunwi-gun,22945,137.28405860485458,9146.0,12556.0,47720
47730,Uiseong-gun,50632,146.52897303499714,19173.0,28094.0,47730
47750,Cheongsong-gun,24539,122.67549410962906,10271.0,12600.0,47750
47760,Yeongyang-gun,16320,120.6356180433509,6828.0,8237.0,47760
47770,Yeongdeok-gun,35314,119.77129711076527,14779.0,17701.0,47770
47820,Cheongdo-gun,41891,125.532404742719,17374.0,21810.0,47820
47830,Goryeong-gun,30626,96.92706145877082,14286.0,13847.0,47830
47840,Seongju-gun,42842,102.66884810061865,19559.0,20081.0,47840
47850,Chilgok-gun,113822,40.076730325466826,70637.0,28309.0,47850
47900,Yecheon-gun,55739,85.83600794742473,26172.0,22465.0,47900
47920,Bonghwa-gun,30762,123.18931657501965,12730.0,15682.0,47920
47930,Uljin-gun,47858,78.73134328358209,24120.0,18990.0,47930
47940,Ulleung-gun,8867,71.95224130708002,4774.0,3435.0,47940
48120,Changwon-si,1032741,39.03900968376104,644481.0,251599.0,48120
48170,Jinju-si,347097,42.97682582603952,210795.0,90593.0,48170
48220,Tongyeong-si,125383,55.31833544894245,65387.0,36171.0,48220
48240,Sacheon-si,109953,57.51387754421644,59989.0,34502.0,48240
48250,Gimhae-si,537673,29.983483530275,352981.0,105836.0,48250
48270,Miryang-si,103525,84.42899780081684,50928.0,42998.0,48270
48310,Geoje-si,241216,30.79506754360728,149459.0,46026.0,48310
48330,Yangsan-si,354726,36.32976308728151,222487.0,80829.0,48330
48720,Uiryeong-gun,26322,118.84591223189446,11143.0,13243.0,48720
48730,Haman-gun,62547,72.80690816135669,32078.0,23355.0,48730
48740,Changnyeong-gun,60129,95.3144486014609,28065.0,26750.0,48740
48820,Goseong-gun,50478,94.02248788942714,22501.0,21156.0,48820
48840,Namhae-gun,42266,117.57778168395149,17067.0,20067.0,48840
48850,Hadong-gun,43449,110.98686639590696,18959.0,21042.0,48850
48860,Sancheong-gun,34360,120.52290286975716,14496.0,17471.0,48860
48870,Hamyang-gun,38310,102.0593509573668,17287.0,17643.0,48870
48880,Geochang-gun,61073,76.73891944354578,30910.0,23720.0,48880
48890,Hapcheon-gun,42935,133.34112832505116,17105.0,22808.0,48890
50110,Jeju-si,493096,34.85580990997867,301373.0,105046.0,50110
50130,Seogwipo-si,183663,48.54964670881368,102182.0,49609.0,50130
